team,batting_WAR,pitching_WAR,total_WAR
- - -,1731.0,2394.1,4125.1
AB2,9.7,4.7,14.4
AB3,-0.7,1.8,1.1
ABC,66.3,33.8,100.1
AC,26.4,40.2,66.6
AG,-0.1,0.2,0.1
ALT,-0.4,0.0,-0.4
ANA,156.0,101.1,257.1
ARI,457.4,342.6,800.0
ATL,1103.0,897.4,2000.4
BAL,1796.4,1127.9,2924.3
BBB,65.6,49.6,115.2
BBS,65.2,41.9,107.1
BCA,7.0,-0.9,6.1
BE,3.9,4.1,8.0
BEG,78.8,62.6,141.4
BKA,9.4,10.5,19.9
BKF,38.7,16.2,54.9
BKG,0.7,-0.1,0.6
BKW,12.9,12.9,25.8
BOS,2459.2,1852.1,4311.3
BRG,10.8,14.3,25.1
BRO,1316.6,868.4,2185.0
BSN,1088.7,804.6,1893.3
BSR,62.0,23.5,85.5
BSU,11.8,0.0,11.8
BUF,102.7,76.6,179.3
CAG,133.6,149.3,282.9
CAL,478.1,420.4,898.5
CBB,0.9,2.6,3.5
CBE,19.3,8.5,27.8
CBN,-1.6,1.1,-0.5
CBR,3.6,4.7,8.3
CC,3.5,1.7,5.2
CC2,4.3,0.3,4.6
CCB,1.3,2.5,3.8
CCU,1.8,2.4,4.2
CEG,7.9,2.8,10.7
CEL,-0.7,-0.1,-0.8
CHC,2124.3,1635.9,3760.2
CHI,468.9,310.0,778.9
CHT,2.5,-5.5,-3.0
CHW,2020.0,1669.2,3689.2
CIC,8.7,5.4,14.1
CIN,2594.7,1772.8,4367.5
CKE,2.3,0.2,2.5
CLE,2466.1,1924.2,4390.3
CLI,16.4,6.2,22.6
CLS,1.3,0.6,1.9
COB,5.9,4.9,10.8
COG,-3.4,0.6,-2.8
COL,485.6,380.7,866.3
COR,14.3,6.7,21.0
CPI,12.8,17.0,29.8
CRS,-3.1,0.8,-2.3
CS,8.4,1.5,9.9
CSE,8.1,22.2,30.3
CSW,15.0,21.7,36.7
CT,7.7,2.9,10.6
CTG,-1.3,2.3,1.0
CTS,-0.3,4.1,3.8
CUN,3.0,0.1,3.1
CUP,1.4,1.5,2.9
CWH,56.1,19.5,75.6
DET,2438.0,1698.0,4136.0
DM,-6.2,2.9,-3.3
DS,135.8,56.9,192.7
DTS,-0.2,0.1,-0.1
DW,-0.1,0.2,0.1
ELI,-1.8,0.2,-1.6
FLA,316.1,232.7,548.8
FTW,-1.1,1.9,0.8
HAR,16.0,20.7,36.7
HBG,48.9,22.8,71.7
HG,154.2,98.0,252.2
HIL,68.3,59.2,127.5
HOU,1203.8,896.6,2100.4
HSS,-0.7,2.0,1.3
IA,-0.5,1.2,0.7
IAB,1.2,-0.9,0.3
IC,2.5,1.1,3.6
ID,1.0,1.0,2.0
IND,71.2,50.3,121.5
JRC,-0.1,-0.1,-0.2
KCA,101.5,100.1,201.6
KCC,2.8,29.4,32.2
KCM,269.5,218.6,488.1
KCP,35.1,18.4,53.5
KCR,806.6,724.5,1531.1
LAA,426.1,295.3,721.4
LAD,1411.9,1171.1,2583.0
LOU,198.5,182.4,380.9
LOW,1.2,0.8,2.0
LRG,0.0,0.5,0.5
LVB,-0.3,0.2,-0.1
MB,1.2,0.1,1.3
MGS,0.2,0.1,0.3
MIA,137.2,127.2,264.4
MID,0.6,1.7,2.3
MIL,1335.2,775.0,2110.2
MIN,1159.0,878.1,2037.1
MON,589.5,460.1,1049.6
MRM,8.2,8.5,16.7
MRS,3.3,37.8,41.1
NBY,-10.4,17.8,7.4
ND,5.5,2.6,8.1
NE,62.6,42.3,104.9
NEG,10.6,6.5,17.1
NHE,0.2,2.6,2.8
NLG,39.8,22.7,62.5
NS,-2.2,0.3,-1.9
NWB,-1.6,-0.1,-1.7
NWK,17.5,11.6,29.1
NYC,39.1,28.7,67.8
NYG,1710.7,875.8,2586.5
NYH,127.0,151.0,278.0
NYK,20.2,15.2,35.4
NYM,1075.8,928.5,2004.3
NYY,2949.9,1651.6,4601.5
OAK,1062.7,692.7,1755.4
PBG,0.2,0.1,0.3
PBU,16.6,13.2,29.8
PC,48.1,34.1,82.2
PHA,992.2,726.0,1718.2
PHI,2125.7,1808.2,3933.9
PHK,-1.0,0.5,-0.5
PHN,37.6,7.1,44.7
PHQ,14.7,12.5,27.2
PIT,2534.1,1821.2,4355.3
PK,-1.3,1.1,-0.2
PRB,28.3,20.7,49.0
PRO,121.6,60.4,182.0
PS,72.1,57.3,129.4
PTG,-0.5,0.7,0.2
PWS,6.7,11.5,18.2
RCH,14.9,-0.1,14.8
RIC,2.5,1.6,4.1
SDP,856.3,604.6,1460.9
SEA,788.9,638.7,1427.6
SEN,-1.9,-0.2,-2.1
SFG,1393.9,834.0,2227.9
SL2,-0.4,-1.6,-2.0
SL3,3.1,1.3,4.4
SLB,555.5,567.1,1122.6
SLG,20.4,13.6,34.0
SLR,-1.4,1.3,-0.1
SLS,155.9,66.4,222.3
SLT,28.0,34.5,62.5
SNS,4.8,-0.2,4.6
SOX,1.5,1.6,3.1
SPS,0.2,-0.2,0.0
STL,2893.7,1887.1,4780.8
SYR,7.2,7.7,14.9
TBD,120.1,74.8,194.9
TBR,388.6,247.4,636.0
TC,0.1,-0.3,-0.2
TEX,898.6,637.7,1536.3
TIC,-0.4,1.4,1.0
TOL,26.9,24.5,51.4
TOR,845.9,646.8,1492.7
TRO,27.6,23.8,51.4
TT,0.0,0.1,0.1
WAP,-0.4,4.0,3.6
WAS,1053.1,874.3,1927.4
WEG,6.6,6.4,13.0
WIL,-0.1,1.2,1.1
WMP,-0.9,-0.1,-1.0
WOR,10.2,20.1,30.3
WP,1.3,-1.5,-0.2
WSN,311.2,246.1,557.3
WSO,1.4,1.9,3.3
WST,5.4,7.1,12.5
